REGIAO/UF;1976/77;1977/78 ;1978/79;1979/80;1980/81;1981/82;1982/83;1983/84;1984/85;1985/86;1986/87;1987/88;1988/89;1989/90;1990/91;1991/92;1992/93;1993/94;1994/95;1995/96;1996/97;1997/98;1998/99;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11    ;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
ES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
RJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-
SP;780;745;850;1050;1032;993;965.8;864;963.3;909.2;923.4;1001.9;1348.4;969;967.5;907.5;1155.5;1265.2;1177.9;1234.3;1322.3;1113;1421;1172.9;1378;1525.5;1735.1;1815.2;1730.4;1654.6;1437.5;1446.5;1306.5;1586.1;1708.5;1597.6;2051.1;1688.3;2366.5;2843.8;3084.3;3409.8;3017.5;3958.7
SUL;10730;8266;8080;11729.8;12067;9072.5;9961.2;10115.3;10737.5;6336.5;9377.9;8972.3;11946.2;11611.2;6221.3;9655;11525.1;11575.4;12170.2;11132.7;11894.8;14323.6;12918.9;12614.9;16263.5;15603.7;21340.6;16252.6;13206.2;18249.2;22944.5;20618.1;18397.1;25642.7;28534.6;18553.4;30025.8;29292.8;34012.3;35181.1;40592.8;38626.7;37822.4;33878.9
PR;4600;3150;4050;5420;5240;4262;4325;4114;4448.5;2568;3853.9;4770.8;5054.5;4572;3617.4;3415.3;4720;5327.8;5534.8;6241.1;6565.5;7191;7723.3;7134.4;8623.1;9478;10971;10036.5;9707.3;9645.6;11915.6;11896.1;9509.7;14078.7;15424.1;10941.9;15912.4;14780.7;17210.5;16844.5;19586.3;19170.5;16252.7;20772.7
SC;480;440;430;728;688;559;435.7;597.3;578.9;507.5;468;586.5;628.9;600.6;249.9;448.2;512.1;556;484.8;489.3;559.7;517;431.2;515.5;527.2;546.5;738.5;656.7;644;827.5;1104.3;946.6;974.8;1345.2;1489.2;1084.9;1578.5;1644.4;1920.3;2135.2;2292.6;2305.9;2382.6;2252.8
RS;5650;4676;3600;5581.8;6139;4251.5;5200.5;5404;5710.1;3261;5056;3615;6262.8;6438.6;2354;5791.5;6293;5691.6;6150.6;4402.3;4769.6;6615.6;4764.4;4965;7113.2;5579.2;9631.1;5559.4;2854.9;7776.1;9924.6;7775.4;7912.6;10218.8;11621.3;6526.6;12534.9;12867.7;14881.5;16201.4;18713.9;17150.3;19187.1;10853.4
NORTE/NORDESTE;0;0;0;2.2;3.8;0.4;4.5;36.4;84.6;156;157.4;429.6;774.3;321;575.8;539.7;718.5;1077.4;1313.3;936.1;1328.7;1660.9;1733;2214.7;2292.5;2465;3076.8;4452.6;5373;4816.1;4947.1;6302.2;5575.9;7001.2;8228.7;8268.5;7956.3;10012.2;12373.6;8926;15181.1;17754.6;16478.2;18037.5
CENTRO-SUL;12145;9726;10200;14885.2;15481;12890.5;14528.4;15304.1;18126.9;13051.5;16914.1;17697.4;23154.9;19780.3;14818.7;18878.9;22323.6;23981.8;24620.8;22253.6;24831.3;29709;29032;30129.9;36139.3;39451.9;48940.7;45340.1;46931.6;50211;53444.7;53715.5;51589.6;61687;67095.6;58114.5;73543.1;76108.6;83854.4;86508.6;98894.2;101527.1;98551.7;102386.5
BRASIL;12145;9726;10200;14887.4;15484.8;12890.9;14532.9;15340.5;18211.5;13207.5;17071.5;18127;23929.2;20101.3;15394.5;19418.6;23042.1;25059.2;25934.1;23189.7;26160;31369.9;30765;32344.6;38431.8;41916.9;52017.5;49792.7;52304.6;55027.1;58391.8;60017.7;57165.5;68688.2;75324.3;66383;81499.4;86120.8;96228;95434.6;114075.3;119281.7;115029.9;120424
